,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



David Warner



",14,14,3,641,452,126,58.27,141.81,63,26,1,4,2017
1,"



Gautam Gambhir


",16,16,4,498,389,76,41.50,128.02,61,7,0,4,2017
2,"



Shikhar Dhawan


",14,14,1,479,376,77,36.84,127.39,53,9,0,3,2017
3,"


Steve Smith

",15,15,3,472,387,84,39.33,121.96,38,12,0,3,2017
4,"


Suresh Raina

",14,14,3,442,307,84,40.18,143.97,42,13,0,3,2017
5,"



Hashim Amla


",10,10,3,420,288,104,60.00,145.83,40,17,2,2,2017
6,"



Manish Pandey


",14,13,5,396,308,81,49.50,128.57,28,12,0,2,2017
7,"



Parthiv Patel


",16,16,0,395,293,70,24.68,134.81,49,8,0,2,2017
8,"


Rahul Tripathi

",14,14,0,391,267,93,27.92,146.44,43,17,0,2,2017
9,"



Robin Uthappa


",14,13,0,388,235,87,29.84,165.10,36,21,0,5,2017
10,"



Sanju Samson


",14,14,0,386,273,102,27.57,141.39,32,19,1,2,2017
11,"



Kieron Pollard


",17,16,3,385,276,70,29.61,139.49,26,22,0,3,2017
12,"


Ajinkya Rahane

",16,16,1,382,323,60,25.46,118.26,35,9,0,2,2017
13,"



Rishabh Pant


",14,14,0,366,221,97,26.14,165.61,28,24,0,2,2017
14,"


Dinesh Karthik

",14,13,3,361,259,65,36.10,139.38,30,11,0,2,2017
15,"



Shreyas Iyer


",12,12,2,338,243,96,33.80,139.09,36,10,0,2,2017
16,"



Rohit Sharma


",17,16,2,333,273,67,23.78,121.97,31,9,0,3,2017
17,"



Nitish Rana


",13,12,1,333,264,62,30.27,126.13,24,17,0,3,2017
18,"


Manoj Tiwary

",15,13,3,324,236,60,32.40,137.28,31,11,0,2,2017
19,"


Brendon McCullum

",11,11,0,319,217,72,29.00,147.00,29,18,0,2,2017
20,"


Ben Stokes

",12,11,1,316,221,103,31.60,142.98,22,15,1,1,2017
21,"



Glenn Maxwell


",14,13,3,310,179,47,31.00,173.18,19,26,0,0,2017
22,"



Virat Kohli


",10,10,0,308,252,64,30.80,122.22,23,11,0,4,2017
23,"


Aaron Finch

",13,13,1,299,180,72,24.91,166.11,25,19,0,2,2017
24,"



Chris Lynn


",7,7,1,295,163,93,49.16,180.98,25,19,0,3,2017
25,"


MS Dhoni

",16,15,4,290,250,61,26.36,116.00,15,16,0,1,2017
26,"



Karun Nair


",14,13,0,281,226,64,21.61,124.33,39,6,0,1,2017
27,"



Moises Henriques


",12,11,5,277,203,55,46.16,136.45,28,4,0,3,2017
28,"


Ishan Kishan

",11,10,0,277,206,61,27.70,134.46,29,13,0,1,2017
29,"



Jos Buttler


",10,10,0,272,177,77,27.20,153.67,27,15,0,1,2017
30,"



Kedar Jadhav


",13,13,1,267,186,69,22.25,143.54,25,10,0,1,2017
31,"



Shaun Marsh


",9,8,0,264,194,84,33.00,136.08,36,5,0,2,2017
32,"



Kane Williamson


",7,7,1,256,169,89,42.66,151.47,20,10,0,2,2017
33,"



Yuvraj Singh


",12,11,2,252,177,70,28.00,142.37,30,8,0,2,2017
34,"



Hardik Pandya


",17,16,9,250,160,35,35.71,156.25,11,20,0,0,2017
35,"



Krunal Pandya


",13,11,4,243,179,47,34.71,135.75,24,7,0,0,2017
36,"


Dwayne Smith

",12,12,1,239,156,74,21.72,153.20,32,8,0,2,2017
37,"



Wriddhiman Saha


",14,11,1,234,187,93,23.40,125.13,20,8,0,1,2017
38,"



Manan Vohra


",11,9,0,229,159,95,25.44,144.02,23,9,0,1,2017
39,"



Axar Patel


",14,13,5,227,162,44,28.37,140.12,11,11,0,0,2017
40,"



Sunil Narine


",16,14,1,224,130,54,17.23,172.30,34,10,0,1,2017
41,"



AB de Villiers


",9,9,1,216,163,89,27.00,132.51,12,16,0,1,2017
42,"



Chris Gayle


",9,9,0,200,163,77,22.22,122.69,15,14,0,1,2017
43,"



Mandeep Singh


",11,10,0,188,177,52,18.80,106.21,21,4,0,1,2017
44,"


Ravindra Jadeja

",12,10,6,158,113,28,39.50,139.82,13,4,0,0,2017
45,"



Chris Morris


",9,9,4,154,94,52,30.80,163.82,15,6,0,1,2017
46,"



Travis Head


",7,7,2,151,108,75,30.20,139.81,9,6,0,1,2017
47,"



Pawan Negi


",12,10,2,144,111,35,18.00,129.72,10,7,0,0,2017
48,"



Yusuf Pathan


",15,11,3,143,115,59,17.87,124.34,9,6,0,1,2017
49,"



Corey Anderson


",11,11,4,142,123,41,20.28,115.44,8,9,0,0,2017
50,"



Sam Billings


",6,6,0,138,104,55,23.00,132.69,19,1,0,1,2017
51,"



Lendl Simmons


",7,7,0,137,112,66,19.57,122.32,10,8,0,2,2017
52,"



Martin Guptill


",7,7,1,132,88,50,22.00,150.00,17,5,0,1,2017
53,"



Colin de Grandhomme


",12,9,1,126,92,36,15.75,136.95,10,6,0,0,2017
54,"



Suryakumar Yadav


",10,7,1,105,88,31,17.50,119.31,8,3,0,0,2017
55,"



Vijay Shankar


",4,4,2,101,75,63,50.50,134.66,12,1,0,1,2017
56,"



Ambati Rayudu


",5,5,0,91,78,63,18.20,116.66,7,3,0,1,2017
57,"



David Miller


",5,4,1,83,80,30,27.66,103.75,4,4,0,0,2017
58,"



Naman Ojha


",14,5,1,79,65,34,19.75,121.53,2,3,0,0,2017
59,"


Dan Christian

",13,9,4,79,49,17,15.80,161.22,5,5,0,0,2017
60,"



Deepak Hooda


",10,6,3,78,52,19,26.00,150.00,5,4,0,0,2017
61,"



Stuart Binny


",8,7,2,78,76,18,15.60,102.63,6,3,0,0,2017
62,"



Pat Cummins


",12,9,4,77,53,24,15.40,145.28,5,4,0,0,2017
63,"



Shane Watson


",8,7,1,71,78,24,11.83,91.02,6,1,0,0,2017
64,"



Eoin Morgan


",4,4,0,65,62,26,16.25,104.83,6,2,0,0,2017
65,"


Jason Roy

",3,3,1,59,40,31,29.50,147.50,9,1,0,0,2017
66,"



Kagiso Rabada


",6,3,0,55,64,44,18.33,85.93,5,1,0,0,2017
67,"


James Faulkner

",8,6,2,54,57,21,13.50,94.73,4,0,0,0,2017
68,"


Andrew Tye

",6,3,1,53,30,25,26.50,176.66,4,3,0,0,2017
69,"



Saurabh Tiwary


",1,1,0,52,43,52,52.00,120.93,9,0,0,1,2017
70,"



Ben Cutting


",4,3,1,51,26,20,25.50,196.15,5,3,0,0,2017
71,"



Mohit Sharma


",14,7,1,51,50,13,8.50,102.00,3,1,0,0,2017
72,"



Amit Mishra


",14,6,5,49,52,13,49.00,94.23,2,2,0,0,2017
73,"



Karn Sharma


",9,6,0,49,41,19,8.16,119.51,5,2,0,0,2017
74,"



Chris Woakes


",13,7,3,46,47,18,11.50,97.87,4,1,0,0,2017
75,"



Sheldon Jackson


",4,3,1,38,31,16,19.00,122.58,5,0,0,0,2017
76,"



Mohammad Shami


",8,6,2,36,24,21,9.00,150.00,4,2,0,0,2017
77,"



Ishank Jaggi


",2,2,1,33,39,28,33.00,84.61,3,0,0,0,2017
78,"



Sreenath Aravind


",10,8,4,32,40,9,8.00,80.00,2,0,0,0,2017
79,"



Angelo Mathews


",3,2,0,32,27,31,16.00,118.51,2,1,0,0,2017
80,"



Bipul Sharma


",7,3,2,31,24,21,31.00,129.16,2,1,0,0,2017
81,"



Marlon Samuels


",5,4,0,29,31,27,7.25,93.54,1,2,0,0,2017
82,"


Basil Thampi

",12,5,5,28,28,13,0.00,100.00,1,1,0,0,2017
83,"


Mayank Agarwal

",3,3,0,26,27,20,8.66,96.29,3,0,0,0,2017
84,"



Aniket Choudhary


",5,3,2,25,20,15,25.00,125.00,1,1,0,0,2017
85,"


Ankit Sharma

",1,1,0,25,15,25,25.00,166.66,2,1,0,0,2017
86,"



Kuldeep Yadav


",12,2,0,20,22,16,10.00,90.90,2,0,0,0,2017
87,"



Mitchell Johnson


",5,3,3,20,17,13,0.00,117.64,1,1,0,0,2017
88,"



Vishnu Vinod


",3,3,0,19,26,9,6.33,73.07,1,1,0,0,2017
89,"



Rahul Tewatia


",3,2,1,19,11,15,19.00,172.72,4,0,0,0,2017
90,"



Aditya Tare


",3,3,0,18,23,18,6.00,78.26,3,0,0,0,2017
91,"



Marcus Stoinis


",5,3,0,17,24,9,5.66,70.83,1,0,0,0,2017
92,"



Mitchell McClenaghan


",14,7,3,16,15,12,4.00,106.66,0,1,0,0,2017
93,"



Harbhajan Singh


",11,7,5,16,16,7,8.00,100.00,0,1,0,0,2017
94,"



Jasprit Bumrah


",16,2,1,16,12,16,16.00,133.33,0,1,0,0,2017
95,"


Rajat Bhatia

",3,2,1,16,17,16,16.00,94.11,0,1,0,0,2017
96,"



Sachin Baby


",3,3,0,15,15,12,5.00,100.00,2,0,0,0,2017
97,"



Anureet Singh


",1,1,0,15,12,15,15.00,125.00,2,0,0,0,2017
98,"


Deepak Chahar

",3,1,0,14,6,14,14.00,233.33,0,2,0,0,2017
99,"



Nathan Coulter-Nile


",8,3,0,14,12,6,4.66,116.66,0,2,0,0,2017
100,"



Yuzvendra Chahal


",13,6,3,13,26,4,4.33,50.00,0,0,0,0,2017
101,"



Samuel Badree


",7,5,0,13,23,8,2.60,56.52,0,0,0,0,2017
102,"



Carlos Brathwaite


",2,2,0,12,15,11,6.00,80.00,2,0,0,0,2017
103,"



Ankit Bawne


",1,1,1,12,12,12,0.00,100.00,1,0,0,0,2017
104,"



Swapnil Singh


",4,2,0,12,19,10,6.00,63.15,0,0,0,0,2017
105,"



Rashid Khan


",14,3,1,11,9,6,5.50,122.22,0,1,0,0,2017
106,"



Umesh Yadav


",14,4,4,10,13,4,0.00,76.92,0,0,0,0,2017
107,"


Washington Sundar

",11,5,4,9,12,5,9.00,75.00,0,0,0,0,2017
108,"



Tymal Mills


",5,3,0,8,11,6,2.66,72.72,0,1,0,0,2017
109,"


Praveen Kumar

",6,2,1,8,9,7,8.00,88.88,0,0,0,0,2017
110,"


Faf du Plessis

",2,1,0,8,7,8,8.00,114.28,1,0,0,0,2017
111,"



Ishant Sharma


",6,3,1,8,12,5,4.00,66.66,1,0,0,0,2017
112,"



Tim Southee


",3,1,0,7,3,7,7.00,233.33,0,1,0,0,2017
113,"



Adam Milne


",4,3,1,7,12,5,3.50,58.33,0,0,0,0,2017
114,"



Lasith Malinga


",12,2,2,7,3,7,0.00,233.33,0,1,0,0,2017
115,"


Ankit Soni

",7,3,1,7,9,7,3.50,77.77,0,1,0,0,2017
116,"



Sandeep Sharma


",13,4,4,7,6,5,0.00,116.66,0,0,0,0,2017
117,"


Ashok Dinda

",3,1,0,7,7,7,7.00,100.00,1,0,0,0,2017
118,"



Darren Bravo


",1,1,1,6,5,6,0.00,120.00,1,0,0,0,2017
119,"



Iqbal Abdulla


",2,1,1,5,7,5,0.00,71.42,0,0,0,0,2017
120,"


Adam Zampa

",6,1,0,5,7,5,5.00,71.42,1,0,0,0,2017
121,"



Trent Boult


",6,1,1,5,8,5,0.00,62.50,0,0,0,0,2017
122,"



Zaheer Khan


",11,3,2,4,13,2,4.00,30.76,0,0,0,0,2017
123,"



Bhuvneshwar Kumar


",14,2,1,4,4,4,4.00,100.00,0,0,0,0,2017
124,"



Varun Aaron


",6,2,1,4,10,4,4.00,40.00,0,0,0,0,2017
125,"



Ankit Rajpoot


",5,1,0,4,7,4,4.00,57.14,1,0,0,0,2017
126,"


Rahul Chahar

",3,1,1,3,2,3,0.00,150.00,0,0,0,0,2017
127,"



Shahbaz Nadeem


",7,4,1,2,9,2,0.66,22.22,0,0,0,0,2017
