,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
128,"



KC Cariappa


",4,2,0,2,7,1,1.00,28.57,0,0,0,0,2017
129,"


Jaydev Unadkat

",12,2,2,2,5,2,0.00,40.00,0,0,0,0,2017
130,"



Mohammad Nabi


",3,1,0,2,3,2,2.00,66.66,0,0,0,0,2017
131,"



Piyush Chawla


",6,1,0,2,6,2,2.00,33.33,0,0,0,0,2017
132,"


Irfan Pathan

",1,1,0,2,3,2,2.00,66.66,0,0,0,0,2017
133,"


Pradeep Sangwan

",5,3,1,2,4,1,1.00,50.00,0,0,0,0,2017
134,"


Dhawal Kulkarni

",6,1,0,1,2,1,1.00,50.00,0,0,0,0,2017
135,"


Lockie Ferguson

",4,1,1,1,1,1,0.00,100.00,0,0,0,0,2017
136,"



Shakib Al Hasan


",1,1,1,1,1,1,0.00,100.00,0,0,0,0,2017
137,"


Shardul Thakur

",12,3,0,0,3,0,0.00,0.00,0,0,0,0,2017
138,"



Siddarth Kaul


",10,1,1,0,2,0,0.00,0.00,0,0,0,0,2017
139,"


Munaf Patel

",2,1,0,0,1,0,0.00,0.00,0,0,0,0,2017
140,"


Akshdeep Nath

",1,1,0,0,1,0,0.00,0.00,0,0,0,0,2017
141,"



Chris Jordan


",1,1,0,0,1,0,0.00,0.00,0,0,0,0,2017
142,"


Imran Tahir

",12,1,1,0,2,0,0.00,0.00,0,0,0,0,2017
