,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



David Warner



",14,14,1,562,359,91,43.23,156.54,65,21,0,7,2015
1,"



Lendl Simmons


",13,13,1,540,441,71,45.00,122.44,56,21,0,6,2015
2,"



Ajinkya Rahane


",14,13,2,540,413,91,49.09,130.75,53,13,0,4,2015
3,"



AB de Villiers


",16,14,3,513,293,133,46.63,175.08,60,22,1,2,2015
4,"



Virat Kohli


",16,16,5,505,386,82,45.90,130.82,35,23,0,3,2015
5,"



Chris Gayle


",14,14,2,491,333,117,40.91,147.44,39,38,1,2,2015
6,"



Rohit Sharma


",16,16,2,482,333,98,34.42,144.74,41,21,0,3,2015
7,"



Shreyas Iyer


",14,14,1,439,342,83,33.76,128.36,41,21,0,4,2015
8,"



Brendon McCullum


",14,14,1,436,280,100,33.53,155.71,51,23,1,2,2015
9,"



Kieron Pollard


",16,14,3,419,256,70,38.09,163.67,28,28,0,2,2015
10,"



JP Duminy


",14,13,3,414,315,78,41.40,131.42,27,20,0,4,2015
11,"



Dwayne Smith


",16,16,0,399,335,62,24.93,119.10,52,16,0,2,2015
12,"



Faf du Plessis


",17,15,2,380,304,55,29.23,125.00,37,5,0,1,2015
13,"



Suresh Raina


",17,17,2,374,304,62,24.93,123.02,31,16,0,2,2015
14,"



MS Dhoni


",17,17,5,372,305,53,31.00,121.96,27,17,0,1,2015
15,"



Robin Uthappa


",13,13,1,364,277,80,30.33,131.40,42,7,0,1,2015
16,"



David Miller


",13,13,2,357,266,89,32.45,134.21,21,21,0,2,2015
17,"



Shikhar Dhawan


",14,14,1,353,286,54,27.15,123.42,45,6,0,3,2015
18,"



Shane Watson


",10,9,1,347,257,104,43.37,135.01,37,14,1,1,2015
19,"



Parthiv Patel


",14,14,1,339,246,59,26.07,137.80,47,5,0,2,2015
20,"



Gautam Gambhir


",13,13,0,327,278,60,25.15,117.62,41,4,0,3,2015
21,"



Andre Russell


",13,11,2,326,169,66,36.22,192.89,35,19,0,3,2015
22,"



Yusuf Pathan


",13,12,5,312,231,52,44.57,135.06,29,12,0,1,2015
23,"



Steve Smith


",14,12,1,293,221,79,26.63,132.57,33,3,0,2,2015
24,"



Moises Henriques


",9,9,2,287,211,74,41.00,136.01,19,13,0,2,2015
25,"



Ambati Rayudu


",15,14,5,281,193,53,31.22,145.59,18,16,0,1,2015
26,"



George Bailey


",13,13,2,259,190,61,23.54,136.31,22,7,0,2,2015
27,"



Murali Vijay


",11,11,0,251,228,39,22.81,110.08,27,8,0,0,2015
28,"



Wriddhiman Saha


",14,13,0,249,197,42,19.15,126.39,16,10,0,0,2015
29,"



Yuvraj Singh


",14,13,0,248,210,57,19.07,118.09,23,10,0,2,2015
30,"



Manish Pandey


",13,12,1,225,184,40,20.45,122.28,22,7,0,0,2015
31,"



Mayank Agarwal


",10,10,1,213,177,68,23.66,120.33,23,7,0,2,2015
32,"



Axar Patel


",14,12,3,206,174,40,22.88,118.39,13,8,0,0,2015
33,"



Sanju Samson


",14,11,1,204,163,76,20.40,125.15,16,8,0,1,2015
34,"



Dwayne Bravo


",17,14,5,195,148,62,21.66,131.75,22,5,0,1,2015
35,"



Kedar Jadhav


",14,12,4,189,140,63,23.62,135.00,16,7,0,1,2015
36,"



Eoin Morgan


",9,9,1,187,151,63,23.37,123.84,11,11,0,1,2015
37,"



Karun Nair


",14,12,1,181,145,61,16.45,124.82,18,5,0,1,2015
38,"



Suryakumar Yadav


",13,13,4,157,113,46,17.44,138.93,12,8,0,0,2015
39,"



Mandeep Singh


",14,9,2,157,100,54,22.42,157.00,17,6,0,1,2015
40,"



Deepak Hooda


",14,9,0,151,95,54,16.77,158.94,6,11,0,1,2015
41,"



Ravi Bopara


",9,8,3,145,120,41,29.00,120.83,6,6,0,0,2015
42,"



Glenn Maxwell


",11,11,0,145,112,43,13.18,129.46,13,8,0,0,2015
43,"



Angelo Mathews


",11,10,3,144,104,28,20.57,138.46,12,6,0,0,2015
44,"



James Faulkner


",13,11,3,144,109,46,18.00,132.11,12,5,0,0,2015
45,"



KL Rahul


",9,8,3,142,126,44,28.40,112.69,8,5,0,0,2015
46,"



Dinesh Karthik


",16,11,0,141,117,28,12.81,120.51,15,4,0,0,2015
47,"



Naman Ojha


",14,11,1,137,121,28,13.70,113.22,12,4,0,0,2015
48,"



Ravindra Jadeja


",17,12,5,132,126,24,18.85,104.76,7,3,0,0,2015
49,"



David Wiese


",14,7,3,122,86,47,30.50,141.86,12,4,0,0,2015
50,"



Quinton de Kock


",3,3,0,122,77,69,40.66,158.44,18,4,0,2,2015
51,"



Harbhajan Singh


",15,10,3,117,73,64,16.71,160.27,9,9,0,1,2015
52,"



Pawan Negi


",10,9,1,116,73,36,14.50,158.90,10,5,0,0,2015
53,"



Corey Anderson


",4,4,1,114,97,55,38.00,117.52,11,6,0,2,2015
54,"



Hardik Pandya


",9,8,3,112,62,61,22.40,180.64,9,8,0,1,2015
55,"



Sarfaraz Khan


",13,8,4,111,71,45,27.75,156.33,12,2,0,0,2015
56,"



Saurabh Tiwary


",7,6,6,109,78,28,0.00,139.74,9,5,0,0,2015
57,"



Karn Sharma


",14,9,3,104,85,32,17.33,122.35,3,6,0,0,2015
58,"



Unmukt Chand


",6,5,0,102,83,58,20.40,122.89,13,2,0,1,2015
59,"



Virender Sehwag


",8,8,0,99,84,47,12.37,117.85,12,3,0,0,2015
60,"



Albie Morkel


",4,3,2,86,65,73,86.00,132.30,9,2,0,1,2015
61,"



Manan Vohra


",7,7,0,82,81,39,11.71,101.23,4,5,0,0,2015
62,"



Shaun Marsh


",4,4,0,81,58,65,20.25,139.65,7,3,0,1,2015
63,"



Michael Hussey


",4,4,0,77,70,56,19.25,110.00,5,3,0,1,2015
64,"



Chris Morris


",11,7,5,76,46,34,38.00,165.21,3,5,0,0,2015
65,"



Stuart Binny


",13,8,4,74,66,20,18.50,112.12,7,1,0,0,2015
66,"



Ashish Reddy


",6,5,2,73,46,22,24.33,158.69,3,5,0,0,2015
67,"



Ryan ten Doeschate


",6,5,2,61,45,38,20.33,135.55,4,3,0,0,2015
68,"



Manoj Tiwary


",5,3,1,57,56,32,28.50,101.78,8,1,0,0,2015
69,"



Piyush Chawla


",13,8,4,54,47,22,13.50,114.89,5,2,0,0,2015
70,"



Ravichandran Ashwin


",14,6,3,52,32,23,17.33,162.50,6,1,0,0,2015
71,"



Jagadeesha Suchith


",13,6,5,48,32,34,48.00,150.00,4,2,0,0,2015
72,"



Hanuma Vihari


",5,4,0,39,35,16,9.75,111.42,6,0,0,0,2015
73,"



Manvinder Bisla


",2,2,0,37,30,20,18.50,123.33,6,1,0,0,2015
74,"



Shakib Al Hasan


",4,3,0,36,27,23,12.00,133.33,5,0,0,0,2015
75,"



Rishi Dhawan


",5,5,3,36,33,25,18.00,109.09,2,2,0,0,2015
76,"



Gurkeerat Mann Singh


",5,5,0,35,39,15,7.00,89.74,3,1,0,0,2015
77,"



Kane Williamson


",2,2,1,31,27,26,31.00,114.81,1,1,0,0,2015
78,"



Johan Botha


",4,3,0,31,15,17,10.33,206.66,5,1,0,0,2015
79,"



Mitchell Johnson


",9,8,4,31,36,13,7.75,86.11,1,1,0,0,2015
80,"



Umesh Yadav


",12,4,3,29,14,24,29.00,207.14,5,1,0,0,2015
81,"



Mohit Sharma


",16,6,3,28,18,21,9.33,155.55,1,2,0,0,2015
82,"



Aaron Finch


",3,3,1,23,33,10,11.50,69.69,4,0,0,0,2015
