,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



Ruturaj Gaikwad



",16,16,2,635,466,101,45.35,136.26,64,23,1,4,2021
1,"



Faf du Plessis


",16,16,2,633,458,95,45.21,138.20,60,23,0,6,2021
2,"



KL Rahul


",13,13,3,626,451,98,62.60,138.80,48,30,0,6,2021
3,"



Shikhar Dhawan


",16,16,1,587,471,92,39.13,124.62,63,16,0,3,2021
4,"



Glenn Maxwell


",15,14,2,513,356,78,42.75,144.10,48,21,0,6,2021
5,"



Sanju Samson


",14,14,2,484,354,119,40.33,136.72,45,17,1,2,2021
6,"



Prithvi Shaw


",15,15,0,479,301,82,31.93,159.13,56,18,0,4,2021
7,"



Shubman Gill


",17,17,0,478,402,57,28.11,118.90,50,12,0,3,2021
8,"



Mayank Agarwal


",12,12,1,441,314,99,40.09,140.44,42,18,0,4,2021
9,"



Rishabh Pant


",16,16,4,419,326,58,34.91,128.52,42,10,0,3,2021
10,"



Devdutt Padikkal


",14,14,1,411,328,101,31.61,125.30,44,14,1,1,2021
11,"



Virat Kohli


",15,15,1,405,339,72,28.92,119.46,43,9,0,3,2021
12,"



Rahul Tripathi


",17,16,2,397,283,74,28.35,140.28,41,11,0,2,2021
13,"



Nitish Rana


",17,16,3,383,314,80,29.46,121.97,34,17,0,2,2021
14,"



Rohit Sharma


",13,13,0,381,299,63,29.30,127.42,33,14,0,1,2021
15,"



Venkatesh Iyer


",10,10,1,370,288,67,41.11,128.47,37,14,0,4,2021
16,"



Moeen Ali


",15,15,1,357,260,58,25.50,137.30,31,19,0,1,2021
17,"



Suryakumar Yadav


",14,14,0,317,221,82,22.64,143.43,40,10,0,2,2021
18,"



AB de Villiers


",15,14,4,313,211,76,31.30,148.34,23,16,0,2,2021
19,"



Quinton de Kock


",11,11,1,297,256,70,29.70,116.01,29,7,0,2,2021
20,"



Manish Pandey


",8,8,2,292,236,69,48.66,123.72,21,10,0,3,2021
21,"



Kane Williamson


",10,10,4,266,235,66,44.33,113.19,29,2,0,2,2021
22,"



Ambati Rayudu


",16,13,4,257,170,72,28.55,151.17,16,17,0,2,2021
23,"



Jos Buttler


",7,7,0,254,166,124,36.28,153.01,27,13,1,0,2021
24,"



Yashasvi Jaiswal


",10,10,0,249,168,50,24.90,148.21,32,10,0,1,2021
25,"



Jonny Bairstow


",7,7,1,248,175,63,41.33,141.71,20,15,0,2,2021
26,"



Kieron Pollard


",14,13,5,245,165,87,30.62,148.48,16,16,0,1,2021
27,"



Shimron Hetmyer


",14,13,6,242,144,53,34.57,168.05,19,12,0,1,2021
28,"



Ishan Kishan


",10,10,1,241,180,84,26.77,133.88,21,10,0,2,2021
29,"



Shivam Dube


",9,9,1,230,193,64,28.75,119.17,18,10,0,1,2021
30,"



Ravindra Jadeja


",16,12,9,227,156,62,75.66,145.51,19,9,0,1,2021
31,"



Dinesh Karthik


",17,15,5,223,170,40,22.30,131.17,22,7,0,0,2021
32,"



David Warner


",8,8,0,195,181,57,24.37,107.73,15,6,0,2,2021
33,"



Chris Gayle


",10,10,1,193,154,46,21.44,125.32,21,8,0,0,2021
34,"



K.S Bharat


",8,7,2,191,156,78,38.20,122.43,10,8,0,1,2021
35,"



Andre Russell


",10,9,2,183,120,54,26.14,152.50,14,14,0,1,2021
36,"



Shreyas Iyer


",8,8,3,175,171,47,35.00,102.33,7,5,0,0,2021
37,"



Deepak Hooda


",12,11,1,160,123,64,16.00,130.08,9,9,0,1,2021
38,"



Suresh Raina


",12,11,2,160,128,54,17.77,125.00,13,9,0,1,2021
39,"



Rahul Tewatia


",14,11,1,155,147,44,15.50,105.44,11,6,0,0,2021
40,"



Shahrukh Khan


",11,10,3,153,114,47,21.85,134.21,9,10,0,0,2021
41,"



Steve Smith


",8,7,1,152,135,39,25.33,112.59,13,2,0,0,2021
42,"



Evin Lewis


",5,5,0,151,93,58,30.20,162.36,18,7,0,1,2021
43,"



Jason Roy


",5,5,0,150,121,60,30.00,123.96,21,1,0,1,2021
44,"



Aiden Markram


",6,6,1,146,119,42,29.20,122.68,12,4,0,0,2021
45,"



Krunal Pandya


",13,12,2,143,123,39,14.30,116.26,10,6,0,0,2021
46,"



Eoin Morgan


",17,16,4,133,139,47,11.08,95.68,8,6,0,0,2021
47,"



Wriddhiman Saha


",9,9,0,131,140,44,14.55,93.57,7,5,0,0,2021
48,"



Hardik Pandya


",12,11,2,127,112,40,14.11,113.39,11,5,0,0,2021
49,"



David Miller


",9,8,3,124,113,62,24.80,109.73,11,3,0,1,2021
50,"



Saurabh Tiwary


",5,4,2,115,97,50,57.50,118.55,10,2,0,1,2021
51,"



Robin Uthappa


",4,4,0,115,84,63,28.75,136.90,8,5,0,1,2021
52,"



MS Dhoni


",16,11,4,114,107,18,16.28,106.54,12,3,0,0,2021
53,"



Abdul Samad


",11,10,1,111,87,28,12.33,127.58,4,8,0,0,2021
54,"



Abhishek Sharma


",8,7,1,98,75,33,16.33,130.66,7,4,0,0,2021
55,"



Mahipal Lomror


",4,4,1,94,73,43,31.33,128.76,3,6,0,0,2021
56,"



Pat Cummins


",7,5,2,93,56,66,31.00,166.07,5,8,0,1,2021
57,"



Riyan Parag


",11,10,2,93,83,25,11.62,112.04,6,4,0,0,2021
58,"



Marcus Stoinis


",10,7,3,89,72,27,22.25,123.61,11,1,0,0,2021
59,"



Nicholas Pooran


",12,11,0,85,76,32,7.72,111.84,3,5,0,0,2021
60,"



Jason Holder


",8,7,1,85,72,47,14.16,118.05,2,6,0,0,2021
61,"



Rashid Khan


",14,10,2,83,69,22,10.37,120.28,9,2,0,0,2021
62,"



Priyam Garg


",5,5,0,72,74,29,14.40,97.29,2,3,0,0,2021
63,"



Rajat Patidar


",4,4,0,71,62,31,17.75,114.51,3,3,0,0,2021
64,"



Lalit Yadav


",7,5,3,68,73,22,34.00,93.15,7,0,0,0,2021
65,"



Chris Morris


",11,7,2,67,49,36,13.40,136.73,2,5,0,0,2021
66,"



Kyle Jamieson


",9,7,3,65,55,16,16.25,118.18,5,3,0,0,2021
67,"



Harpreet Brar


",7,5,5,64,58,25,0.00,110.34,3,2,0,0,2021
68,"



Sunil Narine


",14,10,2,62,47,26,7.75,131.91,3,5,0,0,2021
69,"



Shahbaz Ahmed


",11,7,0,59,53,14,8.42,111.32,4,2,0,0,2021
70,"



Harshal Patel


",15,8,4,59,46,31,14.75,128.26,6,2,0,0,2021
71,"



Vijay Shankar


",7,5,0,58,52,28,11.60,111.53,1,3,0,0,2021
72,"



Sam Curran


",9,4,1,56,29,34,18.66,193.10,5,3,0,0,2021
73,"



Kedar Jadhav


",6,5,1,55,52,19,13.75,105.76,2,2,0,0,2021
74,"



Chris Lynn


",1,1,0,49,35,49,49.00,140.00,4,3,0,0,2021
75,"



Shakib Al Hasan


",8,6,1,47,48,26,9.40,97.91,3,1,0,0,2021
76,"



Dwayne Bravo


",11,3,2,47,18,23,47.00,261.11,3,4,0,0,2021
77,"



Ravichandran Ashwin


",13,5,2,44,42,20,14.66,104.76,2,1,0,0,2021
78,"



Manan Vohra


",4,4,0,42,39,14,10.50,107.69,5,2,0,0,2021
79,"



Liam Livingstone


",5,5,0,42,41,25,8.40,102.43,3,1,0,0,2021
80,"



Jaydev Unadkat


",6,3,1,41,29,24,20.50,141.37,3,2,0,0,2021
81,"



Axar Patel


",12,6,1,40,46,12,8.00,86.95,2,1,0,0,2021
82,"



Jayant Yadav


",5,3,1,34,26,23,17.00,130.76,2,1,0,0,2021
83,"



Bhuvneshwar Kumar


",11,7,6,34,30,14,34.00,113.33,3,0,0,0,2021
84,"



Mohammad Nabi


",3,3,0,34,20,17,11.33,170.00,3,2,0,0,2021
85,"



Chris Jordan


",4,2,0,32,21,30,16.00,152.38,1,3,0,0,2021
86,"



Washington Sundar


",6,4,0,31,47,10,7.75,65.95,2,0,0,0,2021
87,"



Moises Henriques


",5,4,2,31,32,14,15.50,96.87,0,1,0,0,2021
88,"



Dawid Malan


",1,1,0,26,26,26,26.00,100.00,1,1,0,0,2021
89,"



Glenn Phillips


",3,3,1,26,33,14,13.00,78.78,1,2,0,0,2021
90,"



Ripal Patel


",2,2,1,25,27,18,25.00,92.59,3,0,0,0,2021
91,"



Shivam Mavi


",9,2,0,25,20,20,12.50,125.00,2,2,0,0,2021
92,"



Tom Curran


",3,2,1,21,17,21,21.00,123.52,2,0,0,0,2021
93,"



Mohammed Siraj


",15,4,3,20,26,12,20.00,76.92,1,1,0,0,2021
94,"



Prabhsimran Singh


",2,2,0,19,23,12,9.50,82.60,1,1,0,0,2021
95,"



Nathan Ellis


",3,2,1,18,16,12,18.00,112.50,0,1,0,0,2021
96,"



Lockie Ferguson


",8,3,3,18,11,18,0.00,163.63,1,1,0,0,2021
97,"



Anmolpreet Singh


",1,1,0,16,14,16,16.00,114.28,2,1,0,0,2021
98,"



Adam Milne


",4,3,1,16,17,15,8.00,94.11,0,1,0,0,2021
99,"



Chetan Sakariya


",14,6,1,16,25,7,3.20,64.00,2,0,0,0,2021
100,"



Jasprit Bumrah


",14,7,5,16,17,5,8.00,94.11,2,0,0,0,2021
101,"



Jhye Richardson


",3,2,0,15,24,15,7.50,62.50,2,0,0,0,2021
102,"



Chris Woakes


",3,1,1,15,11,15,0.00,136.36,2,0,0,0,2021
103,"



Murugan Ashwin


",3,2,0,15,24,9,7.50,62.50,1,0,0,0,2021
104,"



Virat Singh


",3,2,0,15,26,11,7.50,57.69,1,0,0,0,2021
105,"



Mandeep Singh


",1,1,0,15,14,15,15.00,107.14,2,0,0,0,2021
106,"



Jagadeesha Suchith


",2,1,1,14,6,14,0.00,233.33,2,1,0,0,2021
107,"



Rahul Chahar


",11,5,0,14,15,8,2.80,93.33,1,0,0,0,2021
108,"



Dan Christian


",9,7,1,14,24,9,2.33,58.33,1,0,0,0,2021
109,"



Mohammad Shami


",14,4,3,13,17,9,13.00,76.47,0,0,0,0,2021
110,"



Kagiso Rabada


",15,3,2,13,6,9,13.00,216.66,2,0,0,0,2021
111,"



Yuzvendra Chahal


",15,2,2,10,27,8,0.00,37.03,0,0,0,0,2021
112,"



Ajinkya Rahane


",2,1,0,8,8,8,8.00,100.00,1,0,0,0,2021
113,"



Sandeep Sharma


",7,2,1,8,7,8,8.00,114.28,1,0,0,0,2021
114,"



Mustafizur Rahman


",14,5,5,8,14,8,0.00,57.14,0,1,0,0,2021
115,"



Siddarth Kaul


",8,2,2,8,8,7,0.00,100.00,1,0,0,0,2021
116,"



Sachin Baby


",1,1,0,7,17,7,7.00,41.17,0,0,0,0,2021
117,"



Shreyas Gopal


",3,2,1,7,5,7,7.00,140.00,0,1,0,0,2021
118,"



Daniel Sams


",2,2,1,6,6,3,6.00,100.00,0,0,0,0,2021
119,"



Fabian Allen


",4,3,2,6,12,6,6.00,50.00,0,0,0,0,2021
120,"



Avesh Khan


",16,1,1,5,3,5,0.00,166.66,1,0,0,0,2021
121,"



Shardul Thakur


",16,4,2,5,5,3,2.50,100.00,0,0,0,0,2021
122,"



Harbhajan Singh


",3,2,2,4,4,2,0.00,100.00,0,0,0,0,2021
123,"



Nathan Coulter-Nile


",5,2,0,4,5,3,2.00,80.00,0,0,0,0,2021
124,"



Tim Southee


",3,1,0,3,5,3,3.00,60.00,0,0,0,0,2021
125,"



Navdeep Saini


",2,1,0,2,4,2,2.00,50.00,0,0,0,0,2021
126,"



Tabraiz Shamsi


",1,1,1,2,4,2,0.00,50.00,0,0,0,0,2021
127,"



Kartik Tyagi


",4,2,1,2,4,1,2.00,50.00,0,0,0,0,2021
128,"



Tim Seifert


",1,1,0,2,4,2,2.00,50.00,0,0,0,0,2021
129,"



Arshdeep Singh


",12,2,2,2,3,1,0.00,66.66,0,0,0,0,2021
130,"



George Garton


",5,3,2,2,4,2,2.00,50.00,0,0,0,0,2021
131,"



Varun Chakaravarthy


",17,3,2,2,4,2,2.00,50.00,0,0,0,0,2021
132,"



Mujeeb Ur Rahman


",1,1,1,1,1,1,0.00,100.00,0,0,0,0,2021
133,"



Tim David


",1,1,0,1,3,1,1.00,33.33,0,0,0,0,2021
134,"



Khaleel Ahmed


",7,1,0,1,2,1,1.00,50.00,0,0,0,0,2021
135,"



Wanindu Hasaranga


",2,2,1,1,2,1,1.00,50.00,0,0,0,0,2021
136,"



Ravi Bishnoi


",9,1,0,1,4,1,1.00,25.00,0,0,0,0,2021
137,"



Trent Boult


",14,4,4,1,4,1,0.00,25.00,0,0,0,0,2021
138,"



Deepak Chahar


",15,2,2,1,1,1,0.00,100.00,0,0,0,0,2021
139,"



Ben Stokes


",1,1,0,0,3,0,0.00,0.00,0,0,0,0,2021
140,"



Marco Jansen


",2,2,0,0,3,0,0.00,0.00,0,0,0,0,2021
141,"



Shahbaz Nadeem


",1,1,0,0,1,0,0.00,0.00,0,0,0,0,2021
142,"



Kamlesh Nagarkoti


",1,1,0,0,2,0,0.00,0.00,0,0,0,0,2021
143,"



Prasidh Krishna


",10,2,1,0,1,0,0.00,0.00,0,0,0,0,2021
144,"



Kuldip Yadav


",1,1,1,0,4,0,0.00,0.00,0,0,0,0,2021
145,"



Sarfaraz Khan


",2,2,0,0,4,0,0.00,0.00,0,0,0,0,2021
146,"



Anuj Rawat


",2,1,0,0,1,0,0.00,0.00,0,0,0,0,2021
147,"



Jimmy Neesham


",3,2,0,0,2,0,0.00,0.00,0,0,0,0,2021
148,"



Piyush Chawla


",1,1,0,0,2,0,0.00,0.00,0,0,0,0,2021
