,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
71,"



Tim Southee


",8,4,2,52,46,36,26.00,113.04,5,1,0,0,2018
72,"



Shreevats Goswami


",6,3,0,52,40,35,17.33,130.00,6,1,0,0,2018
73,"



Sarfaraz Khan


",7,6,1,51,41,22,10.20,124.39,7,1,0,0,2018
74,"



Deepak Chahar


",12,4,1,50,29,39,16.66,172.41,1,4,0,0,2018
75,"



Shreyas Gopal


",11,4,1,50,45,24,16.66,111.11,5,0,0,0,2018
76,"



Rahul Tewatia


",8,5,2,50,43,24,16.66,116.27,5,1,0,0,2018
77,"



Jaydev Unadkat


",15,7,3,49,38,26,12.25,128.94,6,1,0,0,2018
78,"



Manoj Tiwary


",5,4,1,47,44,35,15.66,106.81,4,1,0,0,2018
79,"



Chris Morris


",4,4,3,46,26,27,46.00,176.92,3,2,0,0,2018
80,"



Stuart Binny


",7,5,0,44,39,22,8.80,112.82,2,2,0,0,2018
81,"



JP Duminy


",6,4,3,36,40,23,36.00,90.00,3,1,0,0,2018
82,"



Andrew Tye


",14,8,2,32,38,14,5.33,84.21,2,1,0,0,2018
83,"



Harbhajan Singh


",13,3,0,29,36,19,9.66,80.55,3,1,0,0,2018
84,"



Rinku Singh


",4,4,0,29,31,16,7.25,93.54,4,0,0,0,2018
85,"



Piyush Chawla


",15,7,3,27,34,12,6.75,79.41,1,1,0,0,2018
86,"



Dan Christian


",4,3,1,26,33,13,13.00,78.78,0,1,0,0,2018
87,"



Mohammed Siraj


",11,4,2,25,22,14,12.50,113.63,2,1,0,0,2018
88,"



Kedar Jadhav


",1,1,1,24,22,24,0.00,109.09,1,2,0,0,2018
89,"



Tom Curran


",5,4,1,23,28,18,7.66,82.14,3,0,0,0,2018
90,"



Mayank Markande


",14,6,4,21,24,7,10.50,87.50,2,0,0,0,2018
91,"



Mahipal Lomror


",2,2,1,20,21,11,20.00,95.23,1,0,0,0,2018
92,"



Mohammad Nabi


",2,2,0,18,12,14,9.00,150.00,3,0,0,0,2018
93,"



Chris Woakes


",5,4,2,17,19,11,8.50,89.47,1,1,0,0,2018
94,"



Corey Anderson


",3,3,0,17,22,15,5.66,77.27,0,1,0,0,2018
95,"



Mitchell Johnson


",6,2,2,16,11,12,0.00,145.45,2,0,0,0,2018
96,"



Shardul Thakur


",13,1,1,15,5,15,0.00,300.00,3,0,0,0,2018
97,"



Jofra Archer


",10,8,3,15,21,8,3.00,71.42,2,0,0,0,2018
98,"



Bhuvneshwar Kumar


",12,4,2,13,16,7,6.50,81.25,1,0,0,0,2018
99,"



Shivam Mavi


",9,4,1,13,15,7,4.33,86.66,1,0,0,0,2018
100,"



Kuldeep Yadav


",16,3,2,12,24,7,12.00,50.00,1,0,0,0,2018
101,"



Murali Vijay


",1,1,0,12,10,12,12.00,120.00,0,1,0,0,2018
102,"



Mitchell McClenaghan


",11,5,3,11,10,11,5.50,110.00,1,1,0,0,2018
103,"



Ankit Rajpoot


",8,3,0,11,18,8,3.66,61.11,1,0,0,0,2018
104,"



Jasprit Bumrah


",14,3,2,10,11,6,10.00,90.90,1,0,0,0,2018
105,"



Mujeeb Ur Rahman


",11,2,1,10,7,10,10.00,142.85,2,0,0,0,2018
106,"



Mohit Sharma


",9,4,3,10,13,4,10.00,76.92,1,0,0,0,2018
107,"



Akshdeep Nath


",1,1,0,9,13,9,9.00,69.23,1,0,0,0,2018
108,"



Dhruv Shorey


",1,1,0,8,9,8,8.00,88.88,0,1,0,0,2018
109,"



Prashant Chopra


",1,1,0,8,6,8,8.00,133.33,2,0,0,0,2018
110,"



Javon Searles


",4,2,1,8,6,6,8.00,133.33,0,1,0,0,2018
111,"



Mohammad Shami


",4,1,0,7,6,7,7.00,116.66,1,0,0,0,2018
112,"



Vinay Kumar


",2,1,1,6,3,6,0.00,200.00,1,0,0,0,2018
113,"



Dhawal Kulkarni


",8,2,1,6,7,3,6.00,85.71,0,0,0,0,2018
114,"



Shahbaz Nadeem


",6,1,1,6,8,6,0.00,75.00,0,0,0,0,2018
115,"



Billy Stanlake


",4,1,1,5,2,5,0.00,250.00,1,0,0,0,2018
116,"



Akila Dananjaya


",1,1,1,4,5,4,0.00,80.00,0,0,0,0,2018
117,"



Umesh Yadav


",14,5,1,3,11,1,0.75,27.27,0,0,0,0,2018
118,"



Siddarth Kaul


",17,4,1,3,14,2,1.00,21.42,0,0,0,0,2018
119,"



Pawan Negi


",2,2,0,3,5,3,1.50,60.00,0,0,0,0,2018
120,"



Barinder Sran


",6,4,3,3,7,2,3.00,42.85,0,0,0,0,2018
121,"



Basil Thampi


",4,2,1,3,6,3,3.00,50.00,0,0,0,0,2018
122,"



Anureet Singh


",3,1,1,3,4,3,0.00,75.00,0,0,0,0,2018
123,"



Imran Tahir


",6,1,1,2,2,2,0.00,100.00,0,0,0,0,2018
124,"



Mark Wood


",1,1,0,1,3,1,1.00,33.33,0,0,0,0,2018
125,"



Mustafizur Rahman


",7,2,1,1,3,1,1.00,33.33,0,0,0,0,2018
126,"



Ben Laughlin


",7,2,1,1,4,1,1.00,25.00,0,0,0,0,2018
127,"



Liam Plunkett


",7,2,1,1,3,1,1.00,33.33,0,0,0,0,2018
128,"



Ish Sodhi


",6,1,0,1,6,1,1.00,16.66,0,0,0,0,2018
129,"



Murugan Ashwin


",2,1,0,1,2,1,1.00,50.00,0,0,0,0,2018
130,"



Naman Ojha


",1,1,0,1,4,1,1.00,25.00,0,0,0,0,2018
131,"



Prasidh Krishna


",7,2,2,1,5,1,0.00,20.00,0,0,0,0,2018
132,"



Amit Mishra


",10,1,1,1,2,1,0.00,50.00,0,0,0,0,2018
133,"



Yuzvendra Chahal


",14,1,1,0,4,0,0.00,0.00,0,0,0,0,2018
134,"



Pradeep Sangwan


",1,1,0,0,4,0,0.00,0.00,0,0,0,0,2018
135,"



Sandeep Sharma


",12,3,1,0,4,0,0.00,0.00,0,0,0,0,2018
136,"



Ricky Bhui


",1,1,0,0,5,0,0.00,0.00,0,0,0,0,2018
137,"



Trent Boult


",14,1,0,0,2,0,0.00,0.00,0,0,0,0,2018
