,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



Kane Williamson



",17,17,3,735,516,84,52.50,142.44,64,28,0,8,2018
1,"



Rishabh Pant


",14,14,1,684,394,128,52.61,173.60,68,37,1,5,2018
2,"



KL Rahul


",14,14,2,659,416,95,54.91,158.41,66,32,0,6,2018
3,"



Ambati Rayudu


",16,16,2,602,402,100,43.00,149.75,53,34,1,3,2018
4,"



Shane Watson


",15,15,1,555,359,117,39.64,154.59,44,35,2,2,2018
5,"



Jos Buttler


",13,13,3,548,353,95,54.80,155.24,52,21,0,5,2018
6,"



Virat Kohli


",14,14,3,530,381,92,48.18,139.10,52,18,0,4,2018
7,"



Suryakumar Yadav


",14,14,0,512,384,72,36.57,133.33,61,16,0,4,2018
8,"



Dinesh Karthik


",16,16,6,498,337,52,49.80,147.77,49,16,0,2,2018
9,"



Shikhar Dhawan


",16,16,3,497,363,92,38.23,136.91,59,14,0,4,2018
10,"



Chris Lynn


",16,16,1,491,377,74,32.73,130.23,56,18,0,3,2018
11,"



AB de Villiers


",12,11,2,480,275,90,53.33,174.54,39,30,0,6,2018
12,"



MS Dhoni


",16,15,9,455,302,79,75.83,150.66,24,30,0,3,2018
13,"



Suresh Raina


",15,15,3,445,336,75,37.08,132.44,46,12,0,4,2018
14,"



Sanju Samson


",15,15,1,441,320,92,31.50,137.81,30,19,0,3,2018
15,"



Shreyas Iyer


",14,14,3,411,310,93,37.36,132.58,29,21,0,4,2018
16,"



Evin Lewis


",13,13,0,382,276,65,29.38,138.40,32,24,0,2,2018
17,"



Ajinkya Rahane


",15,14,1,370,313,65,28.46,118.21,39,5,0,1,2018
18,"



Chris Gayle


",11,11,2,368,252,104,40.88,146.03,30,27,1,3,2018
19,"



Sunil Narine


",16,16,0,357,188,75,22.31,189.89,40,23,0,2,2018
20,"



Robin Uthappa


",16,16,0,351,265,54,21.93,132.45,30,21,0,1,2018
21,"



Andre Russell


",16,14,3,316,171,88,28.72,184.79,17,31,0,1,2018
22,"



Nitish Rana


",15,15,2,304,232,59,23.38,131.03,26,14,0,1,2018
23,"



Karun Nair


",13,12,0,301,221,54,25.08,136.19,23,13,0,2,2018
24,"



Rohit Sharma


",14,14,2,286,215,94,23.83,133.02,25,12,0,2,2018
25,"



Manish Pandey


",15,13,2,284,246,62,25.81,115.44,22,5,0,3,2018
26,"



Ishan Kishan


",14,12,0,275,184,62,22.91,149.45,22,17,0,2,2018
27,"



Hardik Pandya


",13,13,4,260,195,50,28.88,133.33,20,11,0,1,2018
28,"



Yusuf Pathan


",15,13,4,260,200,45,28.88,130.00,22,11,0,0,2018
29,"



Mandeep Singh


",14,13,3,252,186,47,25.20,135.48,16,11,0,0,2018
30,"



Prithvi Shaw


",9,9,0,245,160,65,27.22,153.12,27,10,0,2,2018
31,"



Shakib Al Hasan


",17,13,2,239,197,35,21.72,121.31,26,5,0,0,2018
32,"



Krunal Pandya


",14,13,3,228,157,41,22.80,145.22,22,10,0,0,2018
33,"



Rahul Tripathi


",12,12,3,226,167,80,25.11,135.32,18,8,0,1,2018
34,"



Vijay Shankar


",13,11,7,212,148,54,53.00,143.24,11,11,0,1,2018
35,"



Shubman Gill


",13,11,5,203,139,57,33.83,146.04,22,5,0,1,2018
36,"



Quinton de Kock


",8,8,0,201,162,53,25.12,124.07,20,8,0,1,2018
37,"



Ben Stokes


",13,13,1,196,161,45,16.33,121.73,13,6,0,0,2018
38,"



Glenn Maxwell


",12,12,0,169,120,47,14.08,140.83,14,9,0,0,2018
39,"



Faf du Plessis


",6,6,1,162,129,67,32.40,125.58,17,6,0,1,2018
40,"



Parthiv Patel


",6,6,1,153,109,53,30.60,140.36,20,4,0,1,2018
41,"



Alex Hales


",6,6,0,148,118,45,24.66,125.42,13,6,0,0,2018
42,"



Dwayne Bravo


",16,10,6,141,91,68,35.25,154.94,8,10,0,1,2018
43,"



Aaron Finch


",10,9,1,134,100,46,16.75,134.00,6,8,0,0,2018
44,"



Kieron Pollard


",9,8,1,133,100,50,19.00,133.00,10,7,0,1,2018
45,"



Colin de Grandhomme


",9,8,3,131,84,40,26.20,155.95,4,10,0,0,2018
46,"



Brendon McCullum


",6,6,0,127,88,43,21.16,144.31,16,6,0,0,2018
47,"



Krishnappa Gowtham


",15,13,4,126,64,33,14.00,196.87,9,9,0,0,2018
48,"



Wriddhiman Saha


",11,10,2,122,102,35,15.25,119.60,17,1,0,0,2018
49,"



Jason Roy


",5,5,1,120,94,91,30.00,127.65,9,7,0,1,2018
50,"



Mayank Agarwal


",11,11,1,120,94,30,12.00,127.65,9,5,0,0,2018
51,"



D'Arcy Short


",7,7,0,115,99,44,16.42,116.16,11,5,0,0,2018
52,"



Sam Billings


",10,8,0,108,78,56,13.50,138.46,8,5,0,1,2018
53,"



Ravichandran Ashwin


",14,9,1,102,71,45,12.75,143.66,7,5,0,0,2018
54,"



Marcus Stoinis


",7,7,3,99,76,29,24.75,130.26,6,4,0,0,2018
55,"



Ben Cutting


",9,6,2,96,58,37,24.00,165.51,5,8,0,0,2018
56,"



Ravindra Jadeja


",16,10,5,89,74,27,17.80,120.27,3,4,0,0,2018
57,"



Deepak Hooda


",9,8,4,87,81,32,21.75,107.40,2,3,0,0,2018
58,"



Gautam Gambhir


",6,5,0,85,88,55,17.00,96.59,8,1,0,1,2018
59,"



Axar Patel


",9,8,2,80,69,19,13.33,115.94,3,4,0,0,2018
60,"



Moeen Ali


",5,4,0,77,46,65,19.25,167.39,4,6,0,1,2018
61,"



Carlos Brathwaite


",4,4,1,75,48,43,25.00,156.25,1,8,0,0,2018
62,"



David Miller


",3,3,1,74,64,26,37.00,115.62,3,2,0,0,2018
63,"



Washington Sundar


",7,6,3,65,38,35,21.66,171.05,5,4,0,0,2018
64,"



Yuvraj Singh


",8,6,0,65,73,20,10.83,89.04,6,2,0,0,2018
65,"



Abhishek Sharma


",3,3,2,63,33,46,63.00,190.90,3,5,0,0,2018
66,"



Colin Munro


",5,5,0,63,41,33,12.60,153.65,7,4,0,0,2018
67,"



Harshal Patel


",5,2,1,60,33,36,60.00,181.81,1,6,0,0,2018
68,"



Rashid Khan


",17,7,2,59,31,34,11.80,190.32,3,6,0,0,2018
69,"



Heinrich Klaasen


",4,4,1,57,47,32,19.00,121.27,5,1,0,0,2018
70,"



Manan Vohra


",4,4,0,55,47,45,13.75,117.02,2,4,0,0,2018
