,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



Virat Kohli



",16,16,4,973,640,113,81.08,152.03,83,38,4,7,2016
1,"



David Warner


",17,17,3,848,560,93,60.57,151.42,88,31,0,9,2016
2,"



AB de Villiers


",16,16,3,687,407,129,52.84,168.79,57,37,1,6,2016
3,"



Shikhar Dhawan


",17,17,4,501,429,82,38.53,116.78,51,8,0,4,2016
4,"



Gautam Gambhir


",15,15,2,501,411,90,38.53,121.89,54,6,0,5,2016
5,"



Rohit Sharma


",14,14,3,489,368,85,44.45,132.88,49,16,0,5,2016
6,"


Ajinkya Rahane

",14,14,3,480,379,74,43.63,126.64,54,9,0,6,2016
7,"



Murali Vijay


",14,14,1,453,364,89,34.84,124.45,50,10,0,5,2016
8,"



Quinton de Kock


",13,13,1,445,327,108,37.08,136.08,52,13,1,3,2016
9,"


Suresh Raina

",15,15,1,399,312,75,28.50,127.88,39,10,0,3,2016
10,"



KL Rahul


",14,12,3,397,271,68,44.11,146.49,37,16,0,4,2016
11,"



Robin Uthappa


",15,15,0,394,289,72,26.26,136.33,45,8,0,3,2016
12,"


Aaron Finch

",13,12,2,393,299,74,39.30,131.43,45,11,0,5,2016
13,"



Yusuf Pathan


",15,13,8,361,248,63,72.20,145.56,33,13,0,3,2016
14,"



Karun Nair


",14,12,2,357,297,83,35.70,120.20,40,6,0,3,2016
15,"


Brendon McCullum

",16,16,0,354,262,60,22.12,135.11,38,16,0,1,2016
16,"


Dinesh Karthik

",16,15,2,335,266,53,25.76,125.93,38,3,0,3,2016
17,"



Ambati Rayudu


",13,12,1,334,278,65,30.36,120.14,28,12,0,2,2016
18,"


Dwayne Smith

",12,12,1,324,221,73,29.45,146.60,35,16,0,3,2016
19,"



Sanju Samson


",14,14,3,291,259,60,26.45,112.35,20,8,0,1,2016
20,"


MS Dhoni

",14,12,5,284,210,64,40.57,135.23,18,14,0,1,2016
21,"


Steve Smith

",8,7,1,270,176,101,45.00,153.40,27,8,1,0,2016
22,"



Wriddhiman Saha


",12,12,1,270,212,56,24.54,127.35,29,1,0,2,2016
23,"



Jos Buttler


",14,14,3,255,184,41,23.18,138.58,23,11,0,0,2016
24,"



Manish Pandey


",12,11,3,248,183,52,31.00,135.51,17,9,0,2,2016
25,"



Krunal Pandya


",12,9,3,237,124,86,39.50,191.12,22,13,0,1,2016
26,"



Yuvraj Singh


",10,10,1,236,179,44,26.22,131.84,22,13,0,0,2016
27,"



Chris Gayle


",10,10,0,227,150,76,22.70,151.33,17,21,0,2,2016
28,"



Kieron Pollard


",13,12,4,207,144,51,25.87,143.75,11,16,0,1,2016
29,"


Faf du Plessis

",6,6,0,206,162,69,34.33,127.16,17,9,0,2,2016
30,"



Rishabh Pant


",10,10,2,198,152,69,24.75,130.26,19,6,0,1,2016
31,"



Chris Morris


",12,7,4,195,109,82,65.00,178.89,15,12,0,1,2016
32,"



JP Duminy


",10,8,3,191,156,49,38.20,122.43,13,3,0,0,2016
33,"


Ravindra Jadeja

",15,15,6,191,178,36,21.22,107.30,14,4,0,0,2016
34,"



Andre Russell


",12,8,1,188,114,39,26.85,164.91,10,15,0,0,2016
35,"



Moises Henriques


",17,15,3,182,158,31,15.16,115.18,15,6,0,0,2016
36,"



Suryakumar Yadav


",15,11,4,182,143,60,26.00,127.27,18,5,0,1,2016
37,"



Shane Watson


",16,15,2,179,134,36,13.76,133.58,14,12,0,0,2016
38,"



Glenn Maxwell


",11,11,2,179,124,68,19.88,144.35,14,8,0,2,2016
39,"



Parthiv Patel


",10,10,0,177,152,81,17.70,116.44,23,4,0,1,2016
40,"


Saurabh Tiwary

",10,7,0,170,141,57,24.28,120.56,17,4,0,2,2016
41,"



Manan Vohra


",7,7,0,161,131,51,23.00,122.90,19,3,0,1,2016
42,"



David Miller


",14,13,3,161,131,31,16.10,122.90,11,4,0,0,2016
43,"



Shaun Marsh


",6,6,1,159,134,56,31.80,118.65,13,4,0,1,2016
44,"



Hashim Amla


",6,6,0,157,119,96,26.16,131.93,20,4,0,1,2016
45,"


Thisara Perera

",12,10,3,150,93,34,21.42,161.29,7,11,0,0,2016
46,"



Marcus Stoinis


",7,5,1,146,108,52,36.50,135.18,13,4,0,1,2016
47,"



Deepak Hooda


",17,15,1,144,121,34,10.28,119.00,9,5,0,0,2016
48,"



Naman Ojha


",17,13,3,136,138,37,13.60,98.55,7,5,0,0,2016
49,"


Usman Khawaja

",6,6,0,127,100,30,21.16,127.00,14,3,0,0,2016
50,"



Kane Williamson


",6,6,0,124,122,50,20.66,101.63,14,0,0,1,2016
51,"



Eoin Morgan


",7,6,1,123,105,51,24.60,117.14,8,4,0,1,2016
52,"



Sachin Baby


",11,6,1,119,79,33,23.80,150.63,9,5,0,0,2016
53,"



Shakib Al Hasan


",10,7,2,114,106,66,22.80,107.54,7,5,0,1,2016
54,"



Gurkeerat Mann Singh


",7,6,1,113,86,51,22.60,131.39,11,3,0,1,2016
55,"



Axar Patel


",14,10,3,111,77,36,15.85,144.15,4,8,0,0,2016
56,"



Nitish Rana


",4,3,0,104,75,70,34.66,138.66,7,8,0,1,2016
57,"


Dwayne Bravo

",15,13,5,99,82,22,12.37,120.73,11,1,0,0,2016
58,"



Harbhajan Singh


",14,7,4,92,84,45,30.66,109.52,11,2,0,0,2016
59,"



Sam Billings


",5,4,0,88,64,54,22.00,137.50,4,4,0,1,2016
60,"


George Bailey

",6,5,1,84,98,34,21.00,85.71,9,2,0,0,2016
61,"



Carlos Brathwaite


",8,6,0,83,38,34,13.83,218.42,6,8,0,0,2016
62,"


James Faulkner

",7,5,2,77,59,32,25.66,130.50,7,0,0,0,2016
63,"


Kevin Pietersen

",4,4,2,73,61,37,36.50,119.67,4,3,0,0,2016
64,"



Sarfaraz Khan


",5,4,2,66,31,35,33.00,212.90,7,4,0,0,2016
65,"



Ben Cutting


",4,4,2,65,34,39,32.50,191.17,4,6,0,0,2016
66,"



Stuart Binny


",14,6,3,63,39,21,21.00,161.53,5,4,0,0,2016
67,"



Pawan Negi


",8,6,4,57,59,19,28.50,96.61,2,3,0,0,2016
68,"



Martin Guptill


",3,3,0,57,55,48,19.00,103.63,3,3,0,0,2016
69,"



Travis Head


",3,3,1,54,40,37,27.00,135.00,3,2,0,0,2016
70,"



Bipul Sharma


",7,4,2,51,25,27,25.50,204.00,1,5,0,0,2016
