,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
71,"



Ashish Reddy


",4,3,1,47,29,32,23.50,162.06,2,4,0,0,2016
72,"



Hardik Pandya


",11,9,2,44,63,9,6.28,69.84,4,0,0,0,2016
73,"



Bhuvneshwar Kumar


",17,8,2,43,27,21,7.16,159.25,6,1,0,0,2016
74,"



Kedar Jadhav


",4,3,3,42,32,25,0.00,131.25,2,2,0,0,2016
75,"


Ishan Kishan

",5,5,0,42,41,27,8.40,102.43,5,0,0,0,2016
76,"


Ravichandran Ashwin

",14,6,4,41,38,29,20.50,107.89,3,1,0,0,2016
77,"



Iqbal Abdulla


",8,2,2,37,27,33,0.00,137.03,4,1,0,0,2016
78,"



Karn Sharma


",5,3,3,36,30,26,0.00,120.00,3,1,0,0,2016
79,"


Rajat Bhatia

",10,6,5,34,20,21,34.00,170.00,1,2,0,0,2016
80,"



Mitchell McClenaghan


",14,5,2,34,23,20,11.33,147.82,2,3,0,0,2016
81,"



Mohit Sharma


",14,6,2,32,26,15,8.00,123.07,3,1,0,0,2016
82,"



Colin Munro


",4,3,0,30,30,16,10.00,100.00,3,0,0,0,2016
83,"



Tim Southee


",11,4,1,30,19,25,10.00,157.89,1,2,0,0,2016
84,"



Shreyas Iyer


",6,6,0,30,43,19,5.00,69.76,2,1,0,0,2016
85,"


Praveen Kumar

",16,7,3,28,27,15,7.00,103.70,4,0,0,0,2016
86,"



Mayank Agarwal


",3,3,0,27,25,10,9.00,108.00,3,1,0,0,2016
87,"



Piyush Chawla


",12,3,0,27,26,11,9.00,103.84,4,0,0,0,2016
88,"



Chris Lynn


",2,2,1,25,22,15,25.00,113.63,0,1,0,0,2016
89,"


Eklavya Dwivedi

",4,2,0,24,14,19,12.00,171.42,2,2,0,0,2016
90,"



Rajagopal Sathish


",4,3,0,24,24,10,8.00,100.00,1,1,0,0,2016
91,"


Dhawal Kulkarni

",14,5,3,23,15,6,11.50,153.33,2,0,0,0,2016
92,"



Nikhil Naik


",2,2,0,23,31,22,11.50,74.19,1,0,0,0,2016
93,"



Jason Holder


",4,4,0,22,19,13,5.50,115.78,2,1,0,0,2016
94,"


Akshdeep Nath

",4,3,0,20,27,12,6.66,74.07,1,0,0,0,2016
95,"



Pradeep Sahu


",5,2,1,19,13,18,19.00,146.15,1,1,0,0,2016
96,"


Albie Morkel

",2,1,0,16,9,16,16.00,177.77,0,2,0,0,2016
97,"



Rishi Dhawan


",2,2,2,14,6,11,0.00,233.33,0,1,0,0,2016
98,"



Farhaan Behardien


",3,3,1,14,13,9,7.00,107.69,2,0,0,0,2016
99,"



Vinay Kumar


",3,2,1,13,12,12,13.00,108.33,0,1,0,0,2016
100,"



Kyle Abbott


",5,3,2,13,8,12,13.00,162.50,0,1,0,0,2016
101,"



KC Cariappa


",5,2,1,13,11,12,13.00,118.18,0,1,0,0,2016
102,"


Irfan Pathan

",4,3,0,11,13,7,3.66,84.61,0,0,0,0,2016
103,"



Parveez Rasool


",4,1,0,10,9,10,10.00,111.11,1,0,0,0,2016
104,"



Nathan Coulter-Nile


",4,2,2,9,14,7,0.00,64.28,1,0,0,0,2016
105,"



Umesh Yadav


",9,2,1,9,5,7,9.00,180.00,0,1,0,0,2016
106,"



Jasprit Bumrah


",14,2,1,8,11,6,8.00,72.72,1,0,0,0,2016
107,"



Lendl Simmons


",1,1,0,8,8,8,8.00,100.00,0,1,0,0,2016
108,"



Aditya Tare


",3,2,0,8,15,8,4.00,53.33,1,0,0,0,2016
109,"



Sandeep Sharma


",14,4,4,8,9,5,0.00,88.88,0,0,0,0,2016
110,"


Mitchell Marsh

",3,1,0,7,11,7,7.00,63.63,0,0,0,0,2016
111,"


Pravin Tambe

",7,1,1,7,19,7,0.00,36.84,1,0,0,0,2016
112,"



Sunil Narine


",11,4,3,7,13,4,7.00,53.84,0,0,0,0,2016
113,"



Jayant Yadav


",5,2,0,6,10,5,3.00,60.00,0,0,0,0,2016
114,"


Peter Handscomb

",2,1,0,6,12,6,6.00,50.00,0,0,0,0,2016
115,"



Zaheer Khan


",12,2,0,6,13,4,3.00,46.15,1,0,0,0,2016
116,"



David Wiese


",1,1,1,5,4,5,0.00,125.00,0,0,0,0,2016
117,"



Imran Tahir


",4,1,0,5,7,5,5.00,71.42,1,0,0,0,2016
118,"



Mitchell Johnson


",3,3,1,5,14,4,2.50,35.71,0,0,0,0,2016
119,"



Barinder Sran


",14,4,4,4,4,2,0.00,100.00,0,0,0,0,2016
120,"



Amit Mishra


",14,2,0,4,14,3,2.00,28.57,0,0,0,0,2016
121,"


Ankit Sharma

",3,1,1,3,3,3,0.00,100.00,0,0,0,0,2016
122,"



Chris Jordan


",9,1,0,3,4,3,3.00,75.00,0,0,0,0,2016
123,"



Shreyas Gopal


",1,1,0,2,16,2,2.00,12.50,0,0,0,0,2016
124,"



Mohammad Shami


",8,2,2,2,4,2,0.00,50.00,0,0,0,0,2016
125,"



Ashish Nehra


",8,2,2,1,1,1,0.00,100.00,0,0,0,0,2016
126,"


Shadab Jakati

",6,1,1,1,2,1,0.00,50.00,0,0,0,0,2016
127,"



Morne Morkel


",10,2,2,1,1,1,0.00,100.00,0,0,0,0,2016
128,"



Kane Richardson


",4,1,1,1,1,1,0.00,100.00,0,0,0,0,2016
129,"


Dale Steyn

",1,1,0,1,2,1,1.00,50.00,0,0,0,0,2016
130,"



Shahbaz Nadeem


",4,1,1,1,5,1,0.00,20.00,0,0,0,0,2016
131,"


Murugan Ashwin

",10,1,0,0,1,0,0.00,0.00,0,0,0,0,2016
132,"


Shivil Kaushik

",7,2,1,0,1,0,0.00,0.00,0,0,0,0,2016
133,"



Swapnil Singh


",1,1,0,0,1,0,0.00,0.00,0,0,0,0,2016
134,"


Adam Zampa

",5,1,0,0,1,0,0.00,0.00,0,0,0,0,2016
135,"



Unmukt Chand


",1,1,0,0,4,0,0.00,0.00,0,0,0,0,2016
