,names,matches,innings,notouts,runs,balls,high_score,avg,strike_rate,fours,sixes,fiftys,hundreds,season
0,"



KL Rahul



",14,14,2,670,518,132,55.83,129.34,58,23,1,5,2020
1,"



Shikhar Dhawan


",17,17,3,618,427,106,44.14,144.73,67,12,2,4,2020
2,"



David Warner


",16,16,2,548,407,85,39.14,134.64,52,14,0,4,2020
3,"



Shreyas Iyer


",17,17,2,519,421,88,34.60,123.27,40,16,0,3,2020
4,"



Ishan Kishan


",14,13,4,516,354,99,57.33,145.76,36,30,0,4,2020
5,"



Quinton de Kock


",16,16,2,503,358,78,35.92,140.50,46,22,0,4,2020
6,"



Suryakumar Yadav


",16,15,3,480,331,79,40.00,145.01,61,11,0,4,2020
7,"



Devdutt Padikkal


",15,15,0,473,379,74,31.53,124.80,51,8,0,5,2020
8,"



Virat Kohli


",15,15,4,466,384,90,42.36,121.35,23,11,0,3,2020
9,"



AB de Villiers


",15,14,4,454,286,73,45.40,158.74,33,23,0,5,2020
10,"



Faf du Plessis


",13,13,2,449,319,87,40.81,140.75,42,14,0,4,2020
11,"



Shubman Gill


",14,14,1,440,373,70,33.84,117.96,44,9,0,3,2020
12,"



Manish Pandey


",16,15,2,425,333,83,32.69,127.62,35,18,0,3,2020
13,"



Mayank Agarwal


",11,11,0,424,271,106,38.54,156.45,44,15,1,2,2020
14,"



Eoin Morgan


",14,14,4,418,302,68,41.80,138.41,32,24,0,1,2020
15,"



Sanju Samson


",14,14,1,375,236,85,28.84,158.89,21,26,0,3,2020
16,"



Ambati Rayudu


",12,11,2,359,282,71,39.88,127.30,30,12,0,1,2020
17,"



Nicholas Pooran


",14,14,4,353,208,77,35.30,169.71,23,25,0,2,2020
18,"



Nitish Rana


",14,14,0,352,254,87,25.14,138.58,43,12,0,3,2020
19,"



Marcus Stoinis


",17,17,3,352,237,65,25.14,148.52,31,16,0,3,2020
20,"



Jonny Bairstow


",11,11,0,345,272,97,31.36,126.83,31,13,0,3,2020
21,"



Rishabh Pant


",14,14,3,343,301,56,31.18,113.95,31,9,0,1,2020
